Main document class|First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
amsart|texmf-dist|tex|latex/amsfonts|amsfonts.sty|18.695
amsart|texmf-dist|fonts|map/fontname|texfonts.map|18.683
amsart|texmf-dist|tex|latex/amsmath|amsgen.sty|18.668
elsarticle|texmf-var|web2c|pdftex|latex.fmt|18.647
amsart|texmf-dist|tex|latex/amsmath|amsbsy.sty|18.643
amsart|texmf-dist|tex|latex/amsmath|amstext.sty|18.639
amsart|texmf-dist|tex|latex/amsmath|amsopn.sty|18.639
amsart|texmf-dist|tex|latex/amsmath|amsmath.sty|18.639
amsart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|18.362
amsart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|18.362
amsart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|18.361
amsart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|18.359
amsart|texmf-dist|tex|latex/amsfonts|umsb.fd|18.323
amsart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|18.267
amsart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|18.266
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|18.098
article|texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|17.990
amsart|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|17.872
amsart|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|17.865
amsart|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|17.817
article|texmf-dist|tex|latex/graphics|dvips.def|17.810
amsart|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|17.809
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|17.797
amsart|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|17.794
amsart|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|17.768
amsart|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|17.728
elsarticle|texmf-dist|tex|latex/graphics|dvips.def|17.709
amsart|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|17.658
elsarticle|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|17.437
amsart|texmf-var|web2c|pdftex|latex.fmt|17.158
amsart|texmf-dist|tex|latex/amsfonts|amssymb.sty|16.453
amsart|texmf-dist|fonts|tfm/public/cm|cmcsc10.tfm|16.230
amsart|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|15.880
amsart|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|15.442
article|texmf-dist|tex|latex/base|size12.clo|15.191
elsarticle|texmf-dist|fonts|tfm/adobe/ly1|psyr.tfm|15.142
elsarticle|texmf-dist|fonts|tfm/adobe/ly1|pzdr.tfm|15.142
elsarticle|texmf-dist|tex|latex/base|size10.clo|15.069
article|texmf-dist|fonts|tfm/public/cm|cmr9.tfm|14.120
article|texmf-dist|fonts|tfm/public/cm|cmti12.tfm|13.675
elsarticle|texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|13.490
elsarticle|texmf-dist|tex|generic/oberdiek|ifpdf.sty|13.421
article|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|12.849
article|texmf-dist|tex|latex/amscls|amsthm.sty|12.804
article|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|12.773
elsarticle|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|12.380
article|texmf-dist|fonts|tfm/public/cm|cmsy9.tfm|12.061
elsarticle|texmf-dist|fonts|tfm/public/cm|cmti7.tfm|12.044
article|texmf-dist|fonts|tfm/public/cm|cmmi9.tfm|12.038
elsarticle|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|11.884
elsarticle|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|11.485
elsarticle|texmf-dist|tex|latex/oberdiek|kvoptions.sty|11.383
amsart|texmf-dist|tex|latex/graphics|keyval.sty|11.141
amsart|texmf-dist|fonts|tfm/public/cm|cmr9.tfm|11.129
elsarticle|texmf-dist|tex|generic/oberdiek|ifvtex.sty|11.108
article|texmf-dist|tex|latex/latexconfig|color.cfg|11.067
article|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex9.tfm|11.010
elsarticle|texmf-dist|fonts|tfm/public/cm|cmti8.tfm|10.975
amsart|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|10.887
