Main document class|First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
elsarticle|texmf-dist|doc|otherformats/lollipop/manual|appendix.tex|0.038
elsart3-1|texmf-dist|tex|latex/base|ifthen.sty|0.038
revtex4|texmf-dist|tex|generic/xypic|xyidioms.tex|0.038
elsarticle|texmf-dist|tex|latex/lastpage|lastpage.sty|0.038
scrartcl|texmf-dist|tex|generic/pgf/basiclayer|pgfcorequick.code.tex|0.038
amsart|texmf-dist|fonts|enc/dvips/lm|lm-rm.enc|0.038
scrartcl|texmf-dist|tex|generic/pgf/basiclayer|pgfcorepathconstruct.code.tex|0.038
elsarticle|texmf-dist|tex|latex/expl3|l3prop.sty|0.038
amsart|texmf-dist|tex|latex/pxfonts|ot1pxr.fd|0.038
article|texmf-dist|tex|latex/fourier|fourier.sty|0.038
elsarticle|texmf-dist|fonts|type1/urw/helvetic|uhvb8a.pfb|0.038
svjour3|texmf-dist|fonts|tfm/adobe/times|ptmro7t.tfm|0.038
amsart|texmf-dist|tex|latex/pxfonts|upxsya.fd|0.038
letter|texmf-dist|tex|latex/base|size12.clo|0.038
elsarticle|texmf-dist|tex|latex/expl3|l3keys.sty|0.038
elsarticle|texmf-dist|tex|latex/multirow|bigstrut.sty|0.038
ios-book-article|texmf-dist|tex|latex/psnfss|ot1ptm.fd|0.038
revtex4|texmf-dist|tex|latex/wasysym|wasysym.sty|0.038
bmc_article|texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|0.038
svjour3|texmf-dist|fonts|tfm/public/amsfonts/euler|eurm7.tfm|0.038
amsart|texmf-dist|tex|latex/pxfonts|upxexa.fd|0.038
jaise2e|texmf-var|web2c|pdftex|pdflatex.fmt|0.038
scrartcl|texmf-dist|tex|latex/pgf/utilities|pgfrcs.sty|0.038
elsarticle|texmf-dist|tex|latex/expl3|l3names.sty|0.038
elsart|texmf-dist|tex|latex/txfonts|utxexa.fd|0.038
elsarticle|texmf-dist|fonts|tfm/adobe/zapfchan|pzcmi8r.tfm|0.038
elsarticle|texmf-dist|tex|latex/expl3|l3skip.sty|0.038
article|texmf-dist|tex|platex/base|ascmac.sty|0.038
elsart|texmf-dist|tex|latex/txfonts|ot1txr.fd|0.038
elsart|texmf-dist|fonts|tfm/public/txfonts|txb.tfm|0.038
scrartcl|texmf-dist|tex|latex/base|latin1.def|0.038
scrartcl|texmf-dist|tex|generic/pgf/systemlayer|pgf.cfg|0.038
elsarticle|texmf-dist|tex|latex/expl3|l3box.sty|0.038
amsart|texmf-dist|fonts|tfm/public/pxfonts|pxsyb.tfm|0.038
scrartcl|texmf-dist|tex|generic/pgf/modules|pgfmoduleplot.code.tex|0.038
elsarticle|texmf-dist|tex|latex/expl3|l3intexpr.sty|0.038
article|texmf-dist|fonts|tfm/public/ae|aeti8.tfm|0.038
elsart|texmf-dist|tex|latex/txfonts|omxtxex.fd|0.038
smfart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|0.037
aicom2e|texmf-dist|tex|latex/psnfss|omxpsycm.fd|0.037
elsart|texmf-dist|tex|generic/pgf/math|pgfmathoperations.code.tex|0.037
letter|texmf-dist|tex|latex/amsmath|amsbsy.sty|0.037
amsart|texmf-dist|tex|latex/marginnote|marginnote.sty|0.037
llncs|texmf-dist|tex|latex/tools|calc.sty|0.037
elsart|texmf-dist|tex|generic/babel|frenchb.cfg|0.037
llncs|texmf-dist|tex|latex/geometry|geometry.sty|0.037
amsart|texmf-dist|tex|latex/extarrows|extarrows.sty|0.037
smfart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|0.037
scrartcl|texmf-dist|tex|generic/pgf/libraries|pgflibraryplothandlers.code.tex|0.037
elsart3-1|texmf-dist|tex|generic/xypic|xyrecat.tex|0.037
scrartcl|texmf-dist|tex|latex/pgf/frontendlayer|tikz.sty|0.037
iosart2c|texmf-dist|tex|latex/pgf/frontendlayer|tikz.sty|0.037
amsart|texmf-dist|tex|latex/amsfonts|ueuex.fd|0.037
amsart|texmf-dist|fonts|tfm/public/cm|cmsy7.tfm|0.037
letter|texmf-dist|tex|latex/amsfonts|amssymb.sty|0.037
elsart5p|texmf-dist|tex|latex/graphics|keyval.sty|0.037
article|texmf-dist|fonts|type1/public/amsfonts/cmextra|cmmib9.pfb|0.037
aicom2e|texmf-dist|tex|latex/psnfss|omlptmcm.fd|0.037
ieeetran|texmf-dist|tex|latex/tools|verbatim.sty|0.037
article|texmf-dist|fonts|tfm/adobe/times|ptmbi8t.tfm|0.037
amsart|texmf-dist|fonts|type1/public/lm|lmmi10.pfb|0.037
iosart1c|texmf-dist|fonts|map/fontname|texfonts.map|0.037
smfart|texmf-dist|tex|latex/amscls|amsthm.sty|0.037
amsart|texmf-dist|fonts|tfm/public/fourier|futr8t.tfm|0.037
svjour|texmf-dist|tex|latex/base|ts1cmr.fd|0.037
article|texmf-dist|fonts|tfm/public/lm|rm-lmbx9.tfm|0.037
amsart|texmf-dist|fonts|tfm/public/fourier|futmii.tfm|0.037
smfart|texmf-dist|fonts|map/fontname|texfonts.map|0.037
smfart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|0.037
elsarticle|texmf-dist|tex|latex/txfonts|t1txss.fd|0.037
letter|texmf-dist|tex|latex/amsmath|amsopn.sty|0.037
elsart3-1|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|0.037
elsart3-1|texmf-dist|fonts|tfm/public/xypic|xybsql10.tfm|0.037
elsart3-1|texmf-dist|tex|generic/xypic|xymatrix.tex|0.037
amsart|texmf-dist|fonts|enc/dvips/lm|lm-mathsy.enc|0.037
amsart|texmf-dist|fonts|type1/public/cm-super|sfti0900.pfb|0.037
elsarticle|texmf-dist|tex|latex/tensor|tensor.sty|0.037
iosart1c|texmf-dist|tex|latex/graphics|trig.sty|0.037
elsart3-1|texmf-dist|fonts|tfm/public/xypic|xycirc10.tfm|0.037
smfart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|0.037
iosart1c|texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|0.037
smfart|texmf-dist|tex|latex/amsmath|amsopn.sty|0.037
amsart|texmf-dist|fonts|type1/public/cm-super|sfbx1200.pfb|0.037
article|texmf-dist|fonts|tfm/jknappen/ec|tcrm0700.tfm|0.037
elsart1p|texmf-dist|tex|latex/graphics|dvipsnam.def|0.037
siamltex|texmf-dist|tex|generic/oberdiek|infwarerr.sty|0.037
amsart|texmf-dist|scripts|oberdiek|oberdiek.luatex.lua|0.037
elsarticle|texmf-dist|fonts|tfm/public/lm|ec-lmr9.tfm|0.037
amsart|texmf-dist|fonts|type1/public/lm|lmri10.pfb|0.037
siamltex|texmf-dist|tex|generic/oberdiek|ltxcmds.sty|0.037
elsart3-1|texmf-dist|fonts|tfm/public/xypic|xyatip10.tfm|0.037
amsart|texmf-dist|tex|generic/pgf/libraries/decorations|pgflibrarydecorations.shapes.code.tex|0.037
revtex4|texmf-dist|tex|latex/cjk/texinput|extended.enc|0.037
article|texmf-dist|tex|latex/chngcntr|chngcntr.sty|0.037
smfart|texmf-dist|tex|latex/amsmath|amstext.sty|0.037
amsart|texmf-dist|fonts|tfm/public/amsfonts/euler|euex8.tfm|0.037
elsart|texmf-dist|tex|generic/pgf/math|pgfmathtrig.code.tex|0.037
elsart3-1|texmf-dist|tex|generic/xypic|xyidioms.tex|0.037
smfart|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|0.037
aicom2e|texmf-dist|fonts|tfm/adobe/times|zptmcmr.tfm|0.037
aicom2e|texmf-dist|fonts|tfm/adobe/times|zpsycmrv.tfm|0.037
revtex4|texmf-dist|tex|latex/bbold|bbold.sty|0.037
kluwer|texmf-dist|fonts|tfm/public/cm|cmti9.tfm|0.037
scrartcl|texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibrarytopaths.code.tex|0.037
iosart1c|texmf-dist|tex|latex/base|fontenc.sty|0.037
amsart|texmf-dist|tex|latex/base|t1cmss.fd|0.037
smfart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|0.037
scrartcl|texmf-dist|fonts|tfm/jknappen/ec|ecrm0600.tfm|0.037
report|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|0.037
elsart3p|texmf-dist|fonts|tfm/public/cm|cmbsy10.tfm|0.037
amsart|texmf-dist|fonts|tfm/public/cm|cmr7.tfm|0.037
letter|texmf-dist|tex|latex/amsmath|amsmath.sty|0.037
elsart|texmf-dist|tex|generic/babel|frenchb.ldf|0.037
article|texmf-dist|fonts|tfm/adobe/helvetic|phvb7t.tfm|0.037
scrartcl|texmf-dist|fonts|tfm/public/cm|cmbsy10.tfm|0.037
aicom2e|texmf-dist|tex|latex/psnfss|ot1ptmcm.fd|0.037
elsarticle|texmf-dist|tex|latex/trimspaces|trimspaces.sty|0.037
amsart|texmf-dist|tex|latex/fourier|fmsfutm.fd|0.037
smfart|texmf-dist|tex|latex/amsmath|amsbsy.sty|0.037
elsarticle|texmf-dist|fonts|tfm/public/lm|ec-lmri12.tfm|0.037
revtex4|texmf-dist|tex|latex/cjk/texinput|extended.chr|0.037
scrartcl|texmf-dist|tex|generic/pgf/modules|pgfmodulematrix.code.tex|0.037
iosart1c|texmf-dist|tex|latex/graphics|graphics.sty|0.037
smfart|texmf-dist|tex|latex/amsfonts|umsb.fd|0.037
kluwer|texmf-dist|tex|latex/base|omscmr.fd|0.037
revtex4|texmf-dist|fonts|tfm/public/bbold|bbold10.tfm|0.037
amsart|texmf-dist|fonts|tfm/public/cm|cmssi12.tfm|0.037
elsarticle|texmf-dist|tex|latex/changepage|chngpage.sty|0.037
amsart|texmf-dist|tex|latex/fourier|fmlfutm.fd|0.037
ieeetran|texmf-dist|fonts|vf/adobe/times|ptmbi7t.vf|0.037
report|texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|0.037
amsart|texmf-dist|tex|latex/psnfss|ot1pzc.fd|0.037
aicom2e|texmf-dist|fonts|tfm/adobe/times|zptmcmrm.tfm|0.037
amsart|texmf-dist|tex|latex/fourier|fmlfutmi.fd|0.037
svjour3|texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibraryshapes.arrows.code.tex|0.037
ieeetran|texmf-dist|fonts|tfm/public/latex-fonts|lasy9.tfm|0.037
iosart1c|texmf-dist|tex|latex/base|t1enc.def|0.037
smfart|texmf-dist|tex|latex/amsmath|amsgen.sty|0.037
smfart|texmf-dist|tex|latex/amsmath|amsmath.sty|0.037
report|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|0.037
revtex4|texmf-dist|fonts|tfm/public/bbm|bbm6.tfm|0.037
elsarticle|texmf-dist|fonts|vf/adobe/courier|pcrr8t.vf|0.037
elsart|texmf-dist|tex|generic/pgf/math|pgfmathbase.code.tex|0.037
elsart3-1|texmf-dist|fonts|tfm/public/xypic|xydash10.tfm|0.037
iosart1c|texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|0.037
amsproc|texmf-dist|fonts|tfm/public/rsfs|rsfs7.tfm|0.037
elsart|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi7.pfb|0.037
article|texmf-dist|tex|latex/datetime|datetime-defaults.sty|0.037
smfart|texmf-dist|tex|latex/tools|multicol.sty|0.037
amsart|texmf-dist|fonts|type1/public/cm-super|sfcc1200.pfb|0.037
llncs|texmf-dist|tex|latex/xkeyval|xkeyval.sty|0.037
aastex|texmf-dist|tex|latex/base|size11.clo|0.037
scrartcl|texmf-dist|tex|latex/pgf/utilities|pgffor.sty|0.037
letter|texmf-dist|tex|latex/amsmath|amstext.sty|0.037
elsarticle|texmf-dist|tex|generic/xypic|xyps.tex|0.037
amsart|texmf-dist|fonts|tfm/public/fourier|futmi.tfm|0.037
aastex|texmf-dist|fonts|tfm/public/cm|cmtt8.tfm|0.037
amsart|texmf-dist|fonts|tfm/public/fourier|futsy.tfm|0.037
elsart3-1|texmf-dist|fonts|tfm/public/xypic|xybtip10.tfm|0.037
elsart3-1|texmf-dist|tex|generic/xypic|xy.tex|0.037
scrartcl|texmf-dist|tex|generic/pgf/frontendlayer/tikz|tikz.code.tex|0.037
article|texmf-dist|fonts|type1/public/lm|lmr7.pfb|0.037
elsarticle|texmf-dist|fonts|tfm/public/lm|ec-lmr17.tfm|0.037
amsart|texmf-dist|fonts|tfm/public/amsfonts/euler|euex7.tfm|0.037
smfart|texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|0.037
elsart|texmf-dist|tex|latex/tools|multicol.sty|0.037
article|texmf-dist|fonts|type1/public/txfonts|txex.pfb|0.037
letter|texmf-dist|tex|latex/amsfonts|amsfonts.sty|0.037
llncs|texmf-dist|tex|generic/xkeyval|xkeyval.tex|0.037
iosart1c|texmf-dist|fonts|tfm/jknappen/ec|ecrm1095.tfm|0.037
elsart3-1|texmf-dist|tex|generic/xypic|xyarrow.tex|0.037
amsart|texmf-dist|fonts|type1/public/lm|lmsy10.pfb|0.037
article|texmf-dist|fonts|tfm/public/txfonts|txsc.tfm|0.037
scrartcl|texmf-dist|tex|generic/babel|english.ldf|0.037
smfart|texmf-dist|tex|latex/amsfonts|amsfonts.sty|0.037
scrartcl|texmf-dist|fonts|tfm/public/cm|cmmib10.tfm|0.037
elsart|texmf-dist|tex|generic/pgf/math|pgfmathrnd.code.tex|0.037
amsart|texmf-dist|tex|latex/fourier|t1futs.fd|0.037
amsart|texmf-dist|fonts|type1/public/cm-super|sfti1200.pfb|0.037
aastex|texmf-dist|fonts|tfm/public/cm|cmss9.tfm|0.037
smfart|texmf-dist|tex|latex/amsfonts|umsa.fd|0.037
article|texmf-dist|fonts|tfm/jknappen/ec|tcrm0600.tfm|0.037
aicom2e|texmf-dist|fonts|tfm/adobe/times|zpzccmry.tfm|0.037
revtex4-1|texmf-dist|tex|generic/pgf/modules|pgfmoduleshapes.code.tex|0.035
revtex4-1|texmf-dist|tex|latex/pgf/systemlayer|pgfsys.sty|0.035
amsart|texmf-dist|fonts|tfm/public/pxfonts|pxr.tfm|0.035
scrartcl|texmf-dist|fonts|tfm/jknappen/ec|ecrm1000.tfm|0.035
amsart|texmf-dist|fonts|tfm/public/lm|rm-lmri8.tfm|0.035
elsarticle|texmf-dist|fonts|tfm/public/bbold|bbold9.tfm|0.035
amsart|texmf-dist|tex|latex/pict2e|pict2e.sty|0.035
ieeetran|texmf-dist|tex|generic/ifxetex|ifxetex.sty|0.035
svmult|texmf-dist|fonts|map/fontname|texfonts.map|0.035
revtex4-1|texmf-dist|tex|generic/pgf/systemlayer|pgf.cfg|0.035
svjour3|texmf-dist|tex|latex/pict2e|pict2e.cfg|0.035
llncs|texmf-dist|fonts|type1/public/amsfonts/cm|cmbxti10.pfb|0.035
elsart|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi5.pfb|0.035
elsarticle|texmf-dist|fonts|type1/urw/palatino|uplri8a.pfb|0.035
aicom2e|texmf-dist|tex|latex/base|omscmr.fd|0.035
revtex4-1|texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibrarytopaths.code.tex|0.035
iosart1c|texmf-dist|fonts|tfm/adobe/times|ptmb8t.tfm|0.035
amsart|texmf-dist|tex|latex/psnfss|omxpsycm.fd|0.035
article|texmf-dist|fonts|tfm/zhmetrics/gbk|gbk29.tfm|0.035
amsart|texmf-dist|fonts|tfm/public/txfonts|txbi.tfm|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcoreshade.code.tex|0.035
revtex4|texmf-dist|tex|generic/xypic|xymatrix.tex|0.035
ieeetran|texmf-dist|tex|latex/caption|caption3.sty|0.035
elsarticle|texmf-dist|tex|latex/lm|ot1lmss.fd|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmr7.pfb|0.035
iosart1c|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|0.035
iosart1c|texmf-dist|fonts|tfm/adobe/times|ptmri8t.tfm|0.035
report|texmf-dist|tex|latex/amsmath|amsgen.sty|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcorepathusage.code.tex|0.035
report|texmf-dist|tex|latex/amsmath|amsmath.sty|0.035
iosart1c|texmf-dist|fonts|tfm/adobe/times|ptmr8t.tfm|0.035
scrartcl|texmf-dist|fonts|tfm/public/cm|cmti7.tfm|0.035
svjour2|texmf-dist|fonts|tfm/public/cm|cmtt10.tfm|0.035
jaise2e|texmf-dist|fonts|type1/public/amsfonts/cm|cmsy8.pfb|0.035
kluwer|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcoreimage.code.tex|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmsy10.pfb|0.035
elsart5p|texmf-dist|fonts|tfm/public/cm|cmtt8.tfm|0.035
amsart|texmf-dist|tex|latex/psnfss|omspzccm.fd|0.035
amsart|texmf-dist|fonts|type1/public/esint-type1|esint10.pfb|0.035
elsarticle|texmf-dist|fonts|type1/urw/palatino|uplr8a.pfb|0.035
revtex4-1|texmf-dist|tex|generic/pgf/systemlayer|pgfsysprotocol.code.tex|0.035
llncs|texmf-dist|fonts|tfm/public/cm|cmsl10.tfm|0.035
iosart1c|texmf-dist|fonts|tfm/public/cm|cmsy9.tfm|0.035
elsarticle|texmf-dist|tex|latex/oberdiek|zref-abspage.sty|0.035
jaise2e|texmf-dist|fonts|vf/adobe/times|ptmri8t.vf|0.035
amsart|texmf-dist|tex|latex/psnfss|helvet.sty|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmr6.pfb|0.035
revtex4|texmf-dist|fonts|tfm/public/wasy|wasy8.tfm|0.035
elsart3-1|texmf-dist|fonts|tfm/public/cm|cmss12.tfm|0.035
revtex4-1|texmf-dist|tex|generic/pgf/utilities|pgfutil-latex.def|0.035
jaise2e|texmf-dist|fonts|tfm/adobe/times|ptmb8r.tfm|0.035
elsarticle|texmf-dist|fonts|tfm/adobe/helvetic|phvro7t.tfm|0.035
report|texmf-dist|tex|latex/amsfonts|umsb.fd|0.035
svjour3|texmf-dist|fonts|type1/urw/times|utmbi8a.pfb|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmr8.pfb|0.035
elsart3p|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib5.tfm|0.035
siamltex|texmf-dist|tex|latex/latexconfig|epstopdf-sys.cfg|0.035
smfart|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|0.035
amsart|texmf-dist|fonts|tfm/adobe/times|zpzccmry.tfm|0.035
jaise2e|texmf-dist|fonts|enc/dvips/base|8r.enc|0.035
revtex4|texmf-dist|tex|latex/psnfss|upzd.fd|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcorepatterns.code.tex|0.035
iosart1c|texmf-dist|fonts|tfm/public/cm|cmmi9.tfm|0.035
smfart|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|0.035
revtex4|texmf-dist|tex|generic/xypic|xyframe.tex|0.035
iosart1c|texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|0.035
smfart|texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|0.035
elsarticle|texmf-dist|fonts|tfm/jknappen/ec|tcti1000.tfm|0.035
jaise2e|texmf-dist|fonts|vf/adobe/times|ptmr8t.vf|0.035
article|texmf-dist|tex|latex/morefloats|morefloats.sty|0.035
revtex4-1|texmf-dist|tex|latex/pgf/frontendlayer|tikz.sty|0.035
revtex4-1|texmf-dist|tex|generic/pgf/frontendlayer/tikz|tikz.code.tex|0.035
elsart3p|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib7.tfm|0.035
article|texmf-dist|tex|latex/csquotes|csquotes.sty|0.035
ltxguide|texmf-dist|tex|latex/base|article.cls|0.035
article|texmf-dist|fonts|tfm/public/txfonts|rtxi.tfm|0.035
iosart1c|texmf-dist|tex|latex/psnfss|times.sty|0.035
svmult|texmf-dist|tex|latex/base|size10.clo|0.035
revtex4|texmf-dist|tex|generic/xypic|xyarrow.tex|0.035
iosart1c|texmf-dist|tex|latex/latexconfig|graphics.cfg|0.035
svjour3|texmf-dist|tex|latex/pict2e|pict2e.sty|0.035
svjour3|texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibraryshapes.callouts.code.tex|0.035
elsarticle|texmf-dist|fonts|type1/public/mnsymbol|MnSymbol10.pfb|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcorequick.code.tex|0.035
iosart1c|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|0.035
amsart|texmf-dist|tex|latex/eso-pic|eso-pic.sty|0.035
amsart|texmf-dist|tex|latex/psnfss|ot1ptmcm.fd|0.035
revtex4|texmf-dist|tex|latex/psnfss|upsy.fd|0.035
svjour|texmf-dist|fonts|type1/public/amsfonts/cm|cmsy5.pfb|0.035
revtex4-1|texmf-dist|tex|latex/pgf/compatibility|pgfcomp-version-0-65.sty|0.035
smfart|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|0.035
bmcart|texmf-dist|fonts|tfm/public/cm|cmcsc10.tfm|0.035
elsarticle|texmf-dist|tex|latex/pbox|pbox.sty|0.035
smfart|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcore.code.tex|0.035
article|texmf-dist|fonts|tfm/public/txfonts|txss.tfm|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcorepoints.code.tex|0.035
revtex4-1|texmf-dist|tex|generic/pgf/libraries|pgflibraryplothandlers.code.tex|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi7.pfb|0.035
amsart|texmf-dist|fonts|tfm/public/fourier|futb8t.tfm|0.035
ieeetran|texmf-dist|tex|latex/jknapltx|mathrsfs.sty|0.035
ltxguide|texmf-dist|fonts|map/fontname|texfonts.map|0.035
amsart|texmf-dist|fonts|tfm/adobe/times|zptmcmrm.tfm|0.035
amsart|texmf-dist|tex|latex/pict2e|pict2e.cfg|0.035
revtex4-1|texmf-dist|tex|generic/pgf/systemlayer|pgfsyssoftpath.code.tex|0.035
amsart|texmf-dist|fonts|tfm/adobe/times|zpsycmrv.tfm|0.035
amsart|texmf-dist|fonts|tfm/public/amsfonts/cyrillic|wncyr6.tfm|0.035
elsarticle|texmf-dist|tex|latex/changes|changes.sty|0.035
revtex4-1|texmf-dist|tex|generic/pgf/utilities|pgfrcs.code.tex|0.035
iosart1c|texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|0.035
amsart|texmf-dist|fonts|type1/public/lm|lmmi8.pfb|0.035
svjour3|texmf-dist|fonts|tfm/public/amsfonts/euler|eurm10.tfm|0.035
svmult|texmf-dist|tex|latex/base|article.cls|0.035
elsarticle|texmf-dist|tex|generic/xypic|xyps-c.tex|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcorescopes.code.tex|0.035
elsart3p|texmf-dist|fonts|tfm/public/cm|cmmib10.tfm|0.035
svjour3|texmf-dist|fonts|type1/public/amsfonts/cmextra|cmmib8.pfb|0.035
jaise2e|texmf-dist|fonts|tfm/adobe/times|ptmri8r.tfm|0.035
iosart1c|texmf-dist|fonts|tfm/public/cm|cmr8.tfm|0.035
siamltex|texmf-var|web2c|pdftex|pdflatex.fmt|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcorearrows.code.tex|0.035
iosart1c|texmf-dist|fonts|tfm/public/cm|cmr6.tfm|0.035
elsarticle|texmf-dist|tex|generic/xypic|xyps-s.tex|0.035
article|texmf-dist|tex|latex/csquotes|csquotes.cfg|0.035
jaise2e|texmf-dist|fonts|vf/adobe/times|ptmb8t.vf|0.035
llncs|texmf-dist|tex|latex/psnfss|ot1pcr.fd|0.035
letter|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|0.035
revtex4-1|texmf-dist|tex|generic/pgf/modules|pgfmoduleplot.code.tex|0.035
llncs|texmf-dist|tex|generic/babel|babel.sty|0.035
svjour3|texmf-dist|tex|latex/base|ts1enc.dfu|0.035
revtex4-1|texmf-dist|tex|latex/pgf/compatibility|pgfcomp-version-1-18.sty|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi5.pfb|0.035
jaise2e|texmf-dist|fonts|tfm/adobe/times|ptmr8r.tfm|0.035
amsart|texmf-dist|tex|latex/psnfss|omlptmcm.fd|0.035
revtex4-1|texmf-dist|tex|latex/pgf/basiclayer|pgfcore.sty|0.035
article|texmf-dist|tex|generic/pictex|pictex.sty|0.035
ltxguide|texmf-dist|tex|latex/base|shortvrb.sty|0.035
scrartcl|texmf-var|web2c|pdftex|pdflatex.fmt|0.035
elsarticle|texmf-dist|fonts|tfm/adobe/courier|pcrro7t.tfm|0.035
revtex4|texmf-dist|fonts|tfm/public/wasy|wasy7.tfm|0.035
jaise2e|texmf-dist|fonts|type1/urw/times|utmri8a.pfb|0.035
llncs|texmf-dist|fonts|tfm/adobe/courier|pcrr7t.tfm|0.035
kluwer|texmf-dist|fonts|tfm/public/cm|cmtt9.tfm|0.035
article|texmf-dist|fonts|type1/public/lm|lmmi12.pfb|0.035
elsarticle|texmf-dist|tex|latex/chngcntr|chngcntr.sty|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi10.pfb|0.035
llncs|texmf-dist|tex|generic/babel|babel.def|0.035
svjour3|texmf-dist|fonts|type1/public/amsfonts/euler|eufm10.pfb|0.035
ba|texmf-dist|fonts|tfm/public/cm|cmti10.tfm|0.035
revtex4-1|texmf-dist|tex|latex/pgf/utilities|pgfrcs.sty|0.035
smfart|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|0.035
elsart3p|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy7.tfm|0.035
report|texmf-dist|tex|latex/amsfonts|umsa.fd|0.035
revtex4-1|texmf-dist|tex|generic/pgf/modules|pgfmodulematrix.code.tex|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmsy6.pfb|0.035
amsart|texmf-dist|tex|latex/mdwtools|mdwlist.sty|0.035
report|texmf-dist|tex|latex/amsmath|amstext.sty|0.035
revtex4|texmf-dist|tex|latex/psnfss|pifont.sty|0.035
report|texmf-dist|tex|latex/amsmath|amsbsy.sty|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcoreobjects.code.tex|0.035
jaise2e|texmf-dist|fonts|type1/urw/times|utmr8a.pfb|0.035
elsarticle|texmf-dist|tex|latex/xpackages/xbase|xparse.sty|0.035
ltxguide|texmf-dist|tex|latex/base|ltxguide.cls|0.035
amsart|texmf-dist|fonts|tfm/public/fourier|futri8t.tfm|0.035
elsarticle|texmf-dist|fonts|tfm/public/amsfonts/cyrillic|wncyr10.tfm|0.035
iosart1c|texmf-dist|fonts|tfm/public/cm|cmr9.tfm|0.035
revtex4-1|texmf-dist|tex|generic/pgf/basiclayer|pgfcorelayers.code.tex|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmex10.pfb|0.035
letter|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|0.035
amsart|texmf-dist|fonts|tfm/public/mnsymbol|MnSymbolS7.tfm|0.035
elsart1p|texmf-dist|tex|latex/tools|bm.sty|0.035
smfart|texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|0.035
siamltex|texmf-dist|fonts|type1/public/amsfonts/cm|cmmi8.pfb|0.035
elsarticle|texmf-dist|tex|latex/listings|lstlang2.sty|0.035
