First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
texmf-dist|tex|latex/base|book.cls|0.079
texmf-dist|tex|latex/feynmf|feynmp.sty|0.079
texmf-dist|tex|latex/graphics-def|luatex.def|0.079
texmf-dist|fonts|tfm/public/fourier|futr8t.tfm|0.077
texmf-dist|tex|latex/base|cp850.def|0.077
texmf-dist|tex|latex/fourier|fmlfutm.fd|0.077
texmf-dist|fonts|tfm/public/fourier|futmi.tfm|0.077
texmf-dist|tex|latex/fourier|t1futs.fd|0.077
texmf-dist|tex|latex/cyrillic|ot2wncyr.fd|0.077
texmf-dist|fonts|tfm/public/fourier|futmii.tfm|0.077
texmf-dist|tex|latex/elsevier|elsart3p.cls|0.077
texmf-dist|tex|latex/pstricks|pstcol.sty|0.077
texmf-dist|tex|latex/fourier|fmlfutmi.fd|0.077
texmf-dist|tex|latex/fourier|fmsfutm.fd|0.077
texmf-dist|fonts|type1/public/lm|lmmi9.pfb|0.077
texmf-dist|tex|latex/psnfss|mathptm.sty|0.076
texmf-dist|fonts|vf/public/ae|aer10.vf|0.076
texmf-dist|tex|latex/psnfss|ot1pplx.fd|0.076
texmf-dist|fonts|tfm/adobe/palatino|pplr9t.tfm|0.076
texmf-dist|fonts|tfm/public/fourier|futsy.tfm|0.076
texmf-dist|tex|latex/qtree|qtree.sty|0.076
texmf-dist|fonts|tfm/adobe/times|ptmro8t.tfm|0.076
texmf-dist|tex|latex/txfonts|t1txtt.fd|0.076
texmf-dist|tex|latex/xpackages/xbase|xparse.sty|0.075
texmf-dist|fonts|type1/public/amsfonts/euler|eusm7.pfb|0.075
texmf-dist|tex|latex/elsevier|elsart1p.cls|0.075
texmf-dist|fonts|tfm/adobe/helvetic|phvb8r.tfm|0.075
texmf-dist|fonts|tfm/public/fourier|futb8t.tfm|0.075
texmf-dist|tex|latex/jknapltx|young.sty|0.075
texmf-dist|tex|latex/lm|t1lmss.fd|0.075
texmf-dist|tex|plain/amsfonts|cyracc.def|0.075
texmf-dist|fonts|type1/public/amsfonts/cm|cmbxsl10.pfb|0.075
texmf-dist|tex|latex/ae|omsaer.fd|0.075
texmf-dist|fonts|type1/public/lm|lmbx8.pfb|0.073
texmf-dist|fonts|type1/public/txfonts|txmia.pfb|0.073
texmf-dist|fonts|tfm/public/eurosym|feymr10.tfm|0.073
