First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
texmf-dist|fonts|map/fontname|texfonts.map|99.558
texmf-dist|fonts|tfm/public/cm|cmmi6.tfm|87.948
texmf-dist|tex|latex/amsfonts|amsfonts.sty|87.846
texmf-dist|fonts|tfm/public/cm|cmsy6.tfm|87.798
texmf-dist|fonts|tfm/public/cm|cmr6.tfm|87.698
texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm10.tfm|86.926
texmf-dist|fonts|tfm/public/cm|cmr8.tfm|86.843
texmf-dist|fonts|tfm/public/amsfonts/symbols|msam10.tfm|86.688
texmf-dist|fonts|tfm/public/cm|cmmi8.tfm|85.827
texmf-dist|fonts|tfm/public/cm|cmsy8.tfm|85.734
texmf-dist|tex|latex/amsfonts|umsa.fd|84.844
texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm7.tfm|84.718
texmf-dist|fonts|tfm/public/amsfonts/symbols|msam7.tfm|84.675
texmf-dist|tex|latex/amsfonts|umsb.fd|84.450
texmf-dist|tex|latex/amsfonts|amssymb.sty|82.135
texmf-var|web2c|pdftex|latex.fmt|82.085
texmf-dist|tex|latex/amsmath|amsgen.sty|80.743
texmf-dist|tex|latex/amsmath|amstext.sty|80.395
texmf-dist|tex|latex/graphics|keyval.sty|80.380
texmf-dist|tex|latex/amsmath|amsbsy.sty|80.364
texmf-dist|tex|latex/amsmath|amsopn.sty|80.207
texmf-dist|tex|latex/amsmath|amsmath.sty|80.184
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex7.tfm|79.411
texmf-dist|fonts|tfm/public/amsfonts/symbols|msbm5.tfm|78.525
texmf-dist|fonts|tfm/public/amsfonts/symbols|msam5.tfm|78.459
texmf-dist|tex|latex/graphics|trig.sty|76.773
texmf-dist|tex|latex/graphics|graphics.sty|76.717
texmf-dist|fonts|tfm/public/cm|cmr12.tfm|76.186
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex8.tfm|75.557
texmf-dist|tex|latex/graphics|graphicx.sty|75.175
texmf-dist|fonts|tfm/public/cm|cmbx10.tfm|73.028
texmf-dist|tex|latex/latexconfig|graphics.cfg|67.986
texmf-dist|fonts|tfm/public/cm|cmti10.tfm|66.802
texmf-dist|fonts|tfm/public/cm|cmsy10.tfm|64.866
texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|62.209
texmf-dist|tex|latex/base|article.cls|62.052
texmf-dist|fonts|tfm/public/cm|cmex10.tfm|60.544
texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|56.563
texmf-dist|tex|latex/graphics|dvips.def|55.923
texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|42.603
texmf-dist|fonts|tfm/public/cm|cmr17.tfm|40.720
texmf-dist|fonts|tfm/public/cm|cmr10.tfm|40.348
texmf-dist|tex|latex/natbib|natbib.sty|40.020
texmf-dist|fonts|tfm/public/cm|cmr9.tfm|39.452
texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|37.962
texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|35.643
texmf-dist|tex|latex/latexconfig|color.cfg|34.446
texmf-dist|tex|latex/oberdiek|kvoptions.sty|34.346
texmf-dist|fonts|tfm/public/cm|cmti8.tfm|34.030
texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|33.469
texmf-dist|tex|generic/oberdiek|ifpdf.sty|33.307
texmf-dist|fonts|tfm/public/cm|cmmi10.tfm|32.917
texmf-dist|fonts|tfm/public/cm|cmti12.tfm|32.265
texmf-dist|tex|latex/url|url.sty|31.333
texmf-dist|fonts|tfm/public/cm|cmti7.tfm|31.090
texmf-dist|fonts|tfm/public/cm|cmsy9.tfm|30.909
texmf-dist|fonts|tfm/public/cm|cmmi9.tfm|30.781
texmf-dist|tex|latex/graphics|color.sty|29.754
texmf-dist|tex|generic/oberdiek|infwarerr.sty|28.518
texmf-dist|tex|generic/oberdiek|ltxcmds.sty|28.442
texmf-dist|fonts|tfm/public/cm|cmcsc10.tfm|28.139
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex9.tfm|27.635
texmf-dist|fonts|tfm/public/latex-fonts|lasy6.tfm|27.072
texmf-dist|tex|latex/base|size12.clo|26.140
texmf-dist|tex|latex/psnfss|upsy.fd|26.127
texmf-dist|tex|latex/psnfss|upzd.fd|26.110
texmf-dist|tex|latex/psnfss|pifont.sty|26.099
texmf-dist|tex|generic/oberdiek|ifluatex.sty|25.921
texmf-dist|tex|generic/oberdiek|etexcmds.sty|25.806
texmf-dist|tex|generic/oberdiek|pdftexcmds.sty|25.754
texmf-dist|tex|generic/oberdiek|kvsetkeys.sty|25.693
texmf-dist|tex|latex/base|latexsym.sty|25.593
texmf-dist|fonts|tfm/public/latex-fonts|lasy10.tfm|25.275
texmf-dist|tex|latex/base|ulasy.fd|25.166
texmf-dist|fonts|tfm/public/latex-fonts|lasy8.tfm|24.799
texmf-dist|tex|latex/amscls|amsthm.sty|24.791
texmf-dist|tex|latex/base|size10.clo|24.672
texmf-var|tex|latex/elsarticle|elsarticle.cls|24.151
texmf-dist|tex|latex/base|omscmr.fd|22.994
texmf-dist|tex|generic/ifxetex|ifxetex.sty|22.866
texmf-dist|tex|latex/graphics|dvipsnam.def|22.740
texmf-dist|tex|generic/oberdiek|ifvtex.sty|22.498
texmf-dist|fonts|tfm/public/latex-fonts|lasy7.tfm|22.443
texmf-dist|fonts|tfm/public/cm|cmbsy10.tfm|22.241
texmf-dist|fonts|tfm/public/cm|cmmib10.tfm|22.168
texmf-dist|fonts|tfm/public/cm|cmbx9.tfm|22.063
texmf-dist|fonts|tfm/public/cm|cmtt10.tfm|21.926
texmf-dist|tex|latex/oberdiek|epstopdf-base.sty|21.835
texmf-dist|tex|latex/oberdiek|grfext.sty|21.835
texmf-dist|fonts|tfm/public/latex-fonts|lasy5.tfm|21.639
texmf-dist|fonts|tfm/public/cm|cmtt8.tfm|21.574
texmf-dist|tex|latex/latexconfig|epstopdf-sys.cfg|19.441
texmf-dist|tex|latex/amscls|amsart.cls|18.740
texmf-dist|tex|latex/hyperref|nameref.sty|18.445
texmf-dist|tex|generic/oberdiek|gettitlestring.sty|18.444
texmf-dist|tex|latex/hyperref|pd1enc.def|18.438
texmf-dist|tex|latex/hyperref|hyperref.sty|18.438
texmf-dist|tex|latex/latexconfig|hyperref.cfg|18.437
texmf-var|web2c|pdftex|pdflatex.fmt|18.392
texmf-dist|tex|latex/oberdiek|rerunfilecheck.sty|18.210
texmf-dist|tex|latex/graphics|epsfig.sty|17.535
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy7.tfm|17.418
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib5.tfm|16.983
texmf-dist|tex|latex/pdftex-def|pdftex.def|16.978
texmf-dist|tex|context/base|supp-pdf.mkii|16.973
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy5.tfm|16.956
texmf-var|fonts|map/pdftex/updmap|pdftex.map|16.895
texmf-dist|fonts|type1/public/amsfonts/cm|cmsy10.pfb|16.870
texmf-dist|fonts|type1/public/amsfonts/cm|cmr10.pfb|16.725
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib7.tfm|16.687
texmf-dist|fonts|tfm/public/cm|cmti9.tfm|16.483
texmf-dist|tex|latex/geometry|geometry.sty|16.020
texmf-dist|fonts|tfm/adobe/ly1|psyr.tfm|15.880
texmf-dist|fonts|type1/public/amsfonts/cm|cmmi10.pfb|15.816
texmf-dist|fonts|tfm/adobe/ly1|pzdr.tfm|15.654
texmf-dist|fonts|type1/public/amsfonts/cm|cmr8.pfb|15.541
texmf-dist|fonts|type1/public/amsfonts/cm|cmex10.pfb|15.525
texmf-dist|tex|latex/base|ifthen.sty|14.480
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib6.tfm|14.095
texmf-dist|fonts|type1/public/amsfonts/cm|cmmi8.pfb|13.896
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy6.tfm|13.854
texmf-dist|fonts|tfm/public/rsfs|rsfs10.tfm|13.739
texmf-dist|fonts|type1/public/amsfonts/cm|cmr6.pfb|13.605
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib8.tfm|13.335
texmf-dist|fonts|tfm/public/rsfs|rsfs5.tfm|13.157
texmf-dist|fonts|type1/public/amsfonts/cm|cmsy8.pfb|13.119
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy8.tfm|13.095
texmf-dist|tex|latex/jknapltx|ursfs.fd|12.995
texmf-dist|tex|latex/jknapltx|mathrsfs.sty|12.994
texmf-dist|fonts|type1/public/amsfonts/cm|cmbx10.pfb|12.523
texmf-dist|tex|latex/hyperref|pdfmark.def|12.457
texmf-dist|tex|latex/hyperref|hdvips.def|12.453
texmf-dist|fonts|type1/public/amsfonts/cm|cmmi6.pfb|12.304
texmf-dist|tex|latex/base|size11.clo|12.248
texmf-dist|fonts|tfm/public/amsfonts/euler|eufm10.tfm|12.067
texmf-dist|fonts|type1/public/amsfonts/cm|cmr7.pfb|12.028
texmf-dist|fonts|type1/public/amsfonts/cm|cmti10.pfb|11.967
texmf-dist|fonts|tfm/public/amsfonts/euler|eufm7.tfm|11.913
texmf-dist|tex|latex/xcolor|xcolor.sty|11.653
texmf-dist|fonts|tfm/public/rsfs|rsfs7.tfm|11.357
texmf-dist|fonts|type1/public/amsfonts/cm|cmsy7.pfb|11.312
texmf-dist|tex|latex/amsfonts|ueuf.fd|11.279
texmf-dist|fonts|type1/public/amsfonts/cm|cmsy6.pfb|11.245
texmf-dist|fonts|type1/public/amsfonts/cm|cmbx12.pfb|11.129
texmf-dist|fonts|type1/public/amsfonts/cm|cmr12.pfb|10.949
texmf-dist|fonts|type1/public/amsfonts/cm|cmmi7.pfb|10.918
texmf-dist|fonts|tfm/adobe/symbol|psyr.tfm|10.839
texmf-dist|tex|latex/amsmath|amscd.sty|10.686
texmf-dist|tex|latex/base|inputenc.sty|10.642
texmf-dist|fonts|tfm/adobe/zapfding|pzdr.tfm|10.554
texmf-dist|tex|latex/tools|array.sty|10.322
texmf-dist|fonts|tfm/public/amsfonts/euler|eufm5.tfm|9.812
texmf-dist|fonts|tfm/public/cm|cmss8.tfm|9.725
texmf-dist|tex|generic/oberdiek|atbegshi.sty|9.635
texmf-dist|fonts|tfm/public/latex-fonts|lasy9.tfm|9.482
texmf-dist|tex|latex/oberdiek|refcount.sty|9.290
texmf-dist|tex|latex/oberdiek|letltxmacro.sty|9.286
texmf-dist|tex|generic/oberdiek|pdfescape.sty|9.277
texmf-dist|tex|latex/oberdiek|auxhook.sty|9.275
texmf-dist|tex|generic/oberdiek|intcalc.sty|9.274
texmf-dist|tex|generic/oberdiek|bigintcalc.sty|9.270
texmf-dist|tex|generic/oberdiek|bitset.sty|9.259
texmf-dist|tex|latex/oberdiek|hycolor.sty|9.258
texmf-dist|tex|latex/oberdiek|xcolor-patch.sty|9.258
texmf-dist|tex|generic/oberdiek|hobsub-generic.sty|9.194
texmf-dist|tex|generic/oberdiek|hobsub-hyperref.sty|9.194
texmf-dist|fonts|type1/public/amsfonts/symbols|msbm10.pfb|9.125
texmf-dist|tex|latex/oberdiek|atveryend.sty|9.108
texmf-dist|tex|generic/oberdiek|uniquecounter.sty|9.104
texmf-dist|tex|latex/tools|bm.sty|8.915
texmf-dist|tex|latex/graphics-cfg|graphics.cfg|8.869
texmf-dist|tex|latex/tools|enumerate.sty|8.714
texmf-dist|tex|latex/tools|verbatim.sty|8.381
texmf-dist|tex|generic/babel|babel.def|8.335
texmf-dist|tex|generic/babel|babel.sty|8.335
texmf-dist|tex|latex/subfigure|subfigure.sty|8.121
texmf-dist|fonts|tfm/public/cm|cmss10.tfm|8.097
texmf-dist|tex|latex/subfigure|subfigure.cfg|8.088
texmf-dist|fonts|tfm/public/cm|cmtt9.tfm|8.043
texmf-dist|fonts|tfm/public/cm|cmsl10.tfm|7.989
texmf-dist|tex|latex/float|float.sty|7.682
texmf-dist|fonts|tfm/public/xypic|xybtip10.tfm|7.515
texmf-dist|tex|generic/xypic|xyrecat.tex|7.515
texmf-dist|fonts|tfm/public/xypic|xybsql10.tfm|7.515
texmf-dist|fonts|tfm/public/xypic|xyatip10.tfm|7.515
texmf-dist|tex|generic/xypic|xyidioms.tex|7.515
texmf-dist|fonts|tfm/public/xypic|xydash10.tfm|7.515
texmf-dist|fonts|tfm/public/xypic|xycirc10.tfm|7.515
texmf-dist|tex|generic/xypic|xy.tex|7.515
texmf-dist|tex|generic/xypic|xyarrow.tex|7.441
texmf-dist|fonts|type1/public/amsfonts/cm|cmmi12.pfb|7.386
texmf-dist|tex|generic/xypic|xymatrix.tex|7.377
texmf-dist|tex|generic/oberdiek|kvdefinekeys.sty|7.281
texmf-dist|tex|generic/xypic|xyframe.tex|6.936
texmf-dist|tex|latex/graphics-def|dvips.def|6.910
texmf-dist|fonts|type1/public/amsfonts/cm|cmr5.pfb|6.872
texmf-dist|tex|generic/xypic|xy.sty|6.852
texmf-dist|tex|latex/base|fontenc.sty|6.811
texmf-dist|tex|generic/xypic|xycurve.tex|6.751
texmf-dist|fonts|type1/public/amsfonts/cm|cmr9.pfb|6.743
texmf-dist|fonts|type1/public/amsfonts/cm|cmmi5.pfb|6.655
texmf-dist|tex|latex/multirow|multirow.sty|6.649
texmf-dist|tex|latex/txfonts|txfonts.sty|6.625
texmf-dist|tex|latex/txfonts|omltxmi.fd|6.607
texmf-dist|fonts|tfm/public/txfonts|txsyc.tfm|6.600
texmf-dist|tex|latex/txfonts|utxsyc.fd|6.599
texmf-dist|tex|latex/txfonts|utxmia.fd|6.599
texmf-dist|tex|latex/txfonts|omxtxex.fd|6.598
texmf-dist|tex|latex/txfonts|utxexa.fd|6.598
texmf-dist|fonts|tfm/public/txfonts|txmia.tfm|6.598
texmf-dist|tex|latex/txfonts|omstxsy.fd|6.577
texmf-dist|fonts|tfm/public/txfonts|txexa.tfm|6.566
texmf-dist|tex|latex/txfonts|ot1txr.fd|6.521
texmf-dist|tex|generic/pgf/utilities|pgfkeys.code.tex|6.515
texmf-dist|fonts|tfm/public/txfonts|txi.tfm|6.509
texmf-dist|tex|generic/pgf/math|pgfmath.code.tex|6.489
texmf-dist|tex|generic/pgf/math|pgfmathcalc.code.tex|6.489
texmf-dist|tex|generic/pgf/math|pgfmathparser.code.tex|6.489
texmf-dist|tex|generic/pgf/math|pgfmathutil.code.tex|6.489
texmf-dist|tex|generic/pgf/utilities|pgfutil-common.tex|6.489
texmf-dist|fonts|tfm/public/xypic|xycmat10.tfm|6.483
texmf-dist|fonts|tfm/public/xypic|xylubt10.tfm|6.483
texmf-dist|fonts|tfm/public/xypic|xyluat10.tfm|6.483
texmf-dist|tex|generic/xypic|xytips.tex|6.483
texmf-dist|fonts|tfm/public/xypic|xycmbt10.tfm|6.483
texmf-dist|fonts|tfm/public/txfonts|txr.tfm|6.459
texmf-dist|fonts|tfm/public/txfonts|txsy.tfm|6.443
texmf-dist|fonts|tfm/public/txfonts|txmi.tfm|6.420
texmf-dist|tex|generic/xypic|xycmtip.tex|6.410
texmf-dist|fonts|tfm/public/txfonts|txex.tfm|6.405
texmf-dist|tex|generic/xypic|xygraph.tex|6.339
texmf-dist|tex|generic/xypic|xyline.tex|6.327
texmf-dist|fonts|type1/public/amsfonts/symbols|msam10.pfb|6.322
texmf-dist|tex|generic/xypic|xycolor.tex|6.314
texmf-dist|tex|generic/pgf/utilities|pgffor.code.tex|6.305
texmf-dist|tex|generic/xypic|xyrotate.tex|6.303
texmf-dist|tex|generic/xypic|xyall.tex|6.293
texmf-dist|fonts|tfm/public/txfonts|txb.tfm|6.229
texmf-dist|fonts|tfm/public/cm|cmbxti10.tfm|6.133
texmf-dist|tex|latex/base|t1enc.def|6.122
texmf-dist|tex|latex/caption|caption3.sty|6.073
texmf-dist|tex|latex/base|fleqn.clo|5.867
texmf-dist|fonts|tfm/public/cm|cmtt12.tfm|5.863
texmf-dist|tex|generic/pgf/utilities|pgfrcs.code.tex|5.762
texmf-dist|tex|generic/pgf/utilities|pgfutil-latex.def|5.761
texmf-dist|tex|latex/pgf/utilities|pgfrcs.sty|5.761
texmf-dist|tex|generic/pgf/systemlayer|pgfsysprotocol.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcorearrows.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcoreimage.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcore.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcorepathprocessing.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcoretransparency.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcorelayers.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcorepathusage.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcoreobjects.code.tex|5.758
texmf-dist|tex|generic/pgf/systemlayer|pgfsyssoftpath.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcorequick.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcorepatterns.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcorepathconstruct.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcorescopes.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcorepoints.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcoreshade.code.tex|5.758
texmf-dist|tex|generic/pgf/systemlayer|pgf.cfg|5.758
texmf-dist|tex|generic/pgf/systemlayer|pgfsys.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcoretransformations.code.tex|5.758
texmf-dist|tex|generic/pgf/basiclayer|pgfcoregraphicstate.code.tex|5.758
texmf-dist|tex|latex/pgf/basiclayer|pgfcore.sty|5.757
texmf-dist|tex|latex/pgf/systemlayer|pgfsys.sty|5.757
texmf-dist|tex|generic/pgf/modules|pgfmoduleplot.code.tex|5.740
texmf-dist|tex|generic/pgf/modules|pgfmoduleshapes.code.tex|5.740
texmf-dist|tex|latex/pgf/compatibility|pgfcomp-version-1-18.sty|5.739
texmf-dist|tex|latex/pgf/basiclayer|pgf.sty|5.738
texmf-dist|tex|latex/pgf/compatibility|pgfcomp-version-0-65.sty|5.733
texmf-dist|tex|latex/revtex4|revsymb.sty|5.723
texmf-dist|tex|latex/revtex4|revtex4.cls|5.710
texmf-dist|tex|latex/revtex4|aps.rtx|5.709
texmf-dist|tex|latex/pgf/utilities|pgffor.sty|5.572
texmf-dist|tex|generic/pgf/libraries|pgflibraryplothandlers.code.tex|5.569
texmf-dist|tex|generic/pgf/modules|pgfmodulematrix.code.tex|5.569
texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibrarytopaths.code.tex|5.569
texmf-dist|tex|generic/pgf/frontendlayer/tikz|tikz.code.tex|5.569
texmf-dist|tex|latex/pgf/frontendlayer|tikz.sty|5.558
texmf-dist|tex|latex/hyperref|hpdftex.def|5.507
texmf-dist|fonts|tfm/adobe/times|ptmb7t.tfm|5.470
texmf-dist|fonts|tfm/adobe/times|ptmri7t.tfm|5.392
texmf-dist|fonts|type1/public/amsfonts/cm|cmti12.pfb|5.327
texmf-dist|tex|latex/psnfss|ot1ptm.fd|5.293
texmf-dist|tex|latex/caption|caption.sty|5.288
texmf-dist|fonts|tfm/adobe/times|ptmr7t.tfm|5.224
texmf-dist|tex|latex/setspace|setspace.sty|5.142
texmf-dist|fonts|tfm/public/cm|cmss12.tfm|5.047
texmf-dist|tex|latex/cite|cite.sty|4.882
texmf-dist|fonts|type1/public/amsfonts/cm|cmmi9.pfb|4.868
texmf-dist|fonts|type1/public/amsfonts/cm|cmbx8.pfb|4.868
texmf-dist|tex|latex/tools|calc.sty|4.850
texmf-dist|fonts|type1/public/amsfonts/cm|cmsy5.pfb|4.834
texmf-dist|fonts|type1/public/amsfonts/cm|cmr17.pfb|4.773
texmf-dist|fonts|type1/public/amsfonts/cm|cmti8.pfb|4.698
texmf-dist|fonts|type1/public/amsfonts/cm|cmtt8.pfb|4.626
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmmib9.tfm|4.557
texmf-dist|fonts|tfm/public/latex-fonts|lasyb10.tfm|4.546
texmf-dist|tex|latex/base|ts1enc.def|4.517
texmf-dist|tex|latex/lineno|lineno.sty|4.508
texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmbsy9.tfm|4.447
texmf-dist|tex|generic/babel|english.ldf|4.412
texmf-dist|tex|latex/graphics-cfg|color.cfg|4.412
texmf-dist|fonts|tfm/jknappen/ec|ecrm1000.tfm|4.334
texmf-dist|fonts|enc/dvips/base|8r.enc|4.311
texmf-dist|tex|generic/pgf/utilities|pgfkeysfiltered.code.tex|4.285
texmf-dist|tex|generic/pgf/utilities|pgfutil-common-lists.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfunctions.random.code.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfunctions.comparison.code.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfloat.code.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfunctions.integerarithmetics.code.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfunctions.basic.code.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfunctions.round.code.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfunctions.misc.code.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfunctions.base.code.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfunctions.code.tex|4.262
texmf-dist|tex|generic/pgf/math|pgfmathfunctions.trigonometric.code.tex|4.262
texmf-dist|tex|latex/xkeyval|xkeyval.sty|4.261
texmf-dist|tex|generic/xkeyval|xkeyval.tex|4.261
texmf-dist|tex|generic/pgf/systemlayer|pgfsys-dvips.def|4.250
texmf-dist|tex|generic/pgf/systemlayer|pgfsys-common-postscript.def|4.247
texmf-dist|tex|latex/tools|xspace.sty|4.194
texmf-dist|fonts|type1/public/amsfonts/cm|cmtt10.pfb|4.174
texmf-dist|tex|latex/base|latin1.def|4.162
texmf-dist|tex|latex/rotating|rotating.sty|4.085
texmf-dist|fonts|type1/urw/times|utmr8a.pfb|4.056
texmf-dist|fonts|type1/urw/times|utmb8a.pfb|4.031
texmf-dist|fonts|type1/urw/times|utmri8a.pfb|4.011
texmf-dist|fonts|tfm/public/cm|cmsl12.tfm|3.956
texmf-dist|fonts|type1/public/amsfonts/cm|cmcsc10.pfb|3.931
texmf-dist|fonts|type1/public/amsfonts/cm|cmsy9.pfb|3.891
texmf-dist|tex|latex/oberdiek|epstopdf.sty|3.841
texmf-dist|tex|latex/tools|dcolumn.sty|3.761
texmf-dist|tex|latex/psnfss|times.sty|3.682
texmf-dist|tex|generic/babel-english|english.ldf|3.657
texmf-dist|fonts|type1/public/amsfonts/cm|cmbx9.pfb|3.619
texmf-dist|tex|latex/ms|everyshi.sty|3.581
texmf-dist|tex|generic/pgf/basiclayer|pgfcoreexternal.code.tex|3.531
texmf-dist|tex|latex/pgf/utilities|pgfkeys.sty|3.504
texmf-dist|tex|latex/bbm-macros|bbm.sty|3.492
texmf-dist|tex|latex/pgf/math|pgfmath.sty|3.467
texmf-dist|tex|latex/revtex4|10pt.rtx|3.451
texmf-dist|tex|latex/psfrag|psfrag.sty|3.416
texmf-dist|fonts|type1/public/amsfonts/cm|cmti7.pfb|3.393
texmf-dist|tex|latex/base|t1enc.dfu|3.379
texmf-dist|tex|latex/base|ot1enc.dfu|3.379
texmf-dist|tex|latex/base|omsenc.dfu|3.379
texmf-dist|tex|latex/base|utf8.def|3.379
texmf-dist|fonts|type1/public/amsfonts/cm|cmmib10.pfb|3.314
texmf-dist|fonts|tfm/jknappen/ec|ecrm0800.tfm|3.216
texmf-dist|tex|latex/booktabs|booktabs.sty|3.061
texmf-dist|fonts|tfm/jknappen/ec|ecrm1200.tfm|3.037
texmf-dist|fonts|type1/public/amsfonts/cm|cmti9.pfb|2.952
texmf-dist|tex|latex/algorithms|algorithm.sty|2.941
texmf-dist|tex|latex/tools|multicol.sty|2.825
texmf-dist|tex|context/base/mkii|supp-pdf.mkii|2.787
texmf-dist|fonts|map/pdftex/updmap|pdftex.map|2.735
texmf-dist|tex|latex/graphics-def|pdftex.def|2.710
texmf-dist|tex|latex/stmaryrd|Ustmry.fd|2.651
texmf-dist|tex|latex/stmaryrd|stmaryrd.sty|2.645
texmf-dist|fonts|tfm/public/stmaryrd|stmary6.tfm|2.633
texmf-dist|tex|latex/doublestroke|dsfont.sty|2.632
texmf-dist|fonts|tfm/public/stmaryrd|stmary10.tfm|2.625
texmf-dist|tex|generic/pstricks|pstricks.con|2.624
texmf-dist|tex|generic/pstricks|pst-fp.tex|2.622
texmf-dist|tex|latex/pstricks|pstricks.sty|2.622
texmf-dist|tex|generic/xkeyval|pst-xkey.tex|2.622
texmf-dist|tex|generic/pstricks|pstricks.tex|2.619
texmf-dist|fonts|tfm/public/stmaryrd|stmary8.tfm|2.595
texmf-dist|tex|latex/subfig|subfig.sty|2.565
texmf-dist|tex|latex/preprint|fullpage.sty|2.564
texmf-dist|fonts|tfm/public/stmaryrd|stmary5.tfm|2.564
texmf-dist|fonts|tfm/jknappen/ec|ecrm0600.tfm|2.537
texmf-dist|tex|latex/base|t1cmtt.fd|2.505
texmf-dist|tex|latex/amsfonts|eucal.sty|2.484
texmf-dist|tex|latex/ntgclass|a4.sty|2.443
texmf-dist|tex|generic/epsf|epsf.sty|2.424
texmf-dist|fonts|tfm/public/cm|cmss9.tfm|2.408
texmf-dist|tex|latex/fancyhdr|fancyhdr.sty|2.402
texmf-dist|fonts|tfm/jknappen/ec|ecti1000.tfm|2.398
texmf-dist|fonts|tfm/public/stmaryrd|stmary7.tfm|2.368
texmf-dist|tex|latex/base|fix-cm.sty|2.356
texmf-dist|tex|latex/algorithms|algorithmic.sty|2.345
texmf-dist|tex|generic/ulem|ulem.sty|2.321
texmf-dist|tex|latex/psnfss|mathptmx.sty|2.318
texmf-dist|tex|latex/wasysym|wasysym.sty|2.300
texmf-dist|tex|latex/psnfss|ot1ztmcm.fd|2.295
texmf-dist|fonts|tfm/adobe/times|zptmcm7t.tfm|2.295
texmf-dist|fonts|tfm/public/txfonts|rtxptmri.tfm|2.293
texmf-dist|tex|latex/psnfss|omlztmcm.fd|2.292
texmf-dist|fonts|tfm/adobe/times|zptmcm7m.tfm|2.292
texmf-dist|tex|latex/wasysym|uwasy.fd|2.291
texmf-dist|fonts|tfm/public/txfonts|rtxr.tfm|2.289
texmf-dist|fonts|tfm/public/txfonts|rtxptmr.tfm|2.288
texmf-dist|fonts|tfm/public/wasy|wasy10.tfm|2.287
texmf-dist|fonts|tfm/jknappen/ec|ecrm1440.tfm|2.287
texmf-dist|fonts|type1/public/txfonts|rtxr.pfb|2.285
texmf-dist|fonts|tfm/jknappen/ec|ecbx1000.tfm|2.284
texmf-dist|fonts|vf/public/txfonts|txr.vf|2.284
texmf-dist|fonts|tfm/adobe/times|zptmcm7y.tfm|2.283
texmf-dist|tex|latex/psnfss|omsztmcm.fd|2.283
texmf-dist|fonts|tfm/public/wasy|wasy6.tfm|2.280
texmf-dist|fonts|tfm/public/txfonts|rtxmi.tfm|2.277
texmf-dist|tex|latex/psnfss|omxztmcm.fd|2.274
texmf-dist|fonts|tfm/adobe/times|zptmcm7v.tfm|2.274
texmf-dist|fonts|type1/public/txfonts|txsy.pfb|2.272
texmf-dist|fonts|type1/public/txfonts|rtxmi.pfb|2.272
texmf-dist|fonts|vf/public/txfonts|txmi.vf|2.269
texmf-dist|tex|latex/base|ts1cmr.fd|2.269
